,text,emotion,clean_text
46,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,joy,lost special mind worry still sane wanted reading book know many times said sam special guarantee many times used paragraph tell special
47,i can t let go of that sad feeling that i want to be accepted here in this first home of mine,love,let go sad want accepted first home mine
48,on a boat trip to denmark,joy,boat trip denmark
49,i stopped feeling cold and began feeling hot,anger,stopped cold began hot
50,i need to feel the dough to make sure its just perfect,joy,need dough make sure perfect
51,i found myself feeling a little discouraged that morning,sadness,found little discouraged morning
52,i feel selfish and spoiled,anger,selfish spoiled
53,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,fear,stymied little bit wrote unsure might go somewhere story unintended
54,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,joy,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skins scissor sisters valentine sun fed kayle daddy gerling awake unkind
55,i feel you know basically like a fake in the realm of science fiction,sadness,know basically like fake realm science fiction
56,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,sadness,hate living dads roof gives excuse asshole hes providing live think feels needs make unwelcome possible leave
57,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,surprise,keep pleasantly surprised supportiveness also ease new situations
58,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,joy,anymore vigorous sexual activity coming yes misspelt cumming days parts begin fall
59,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,joy,mom graceful warm loving smile rob nurture heal
60,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,joy,talk brother law extremely popular one think stiff
61,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,love,ate could gentle tingle throughout almost healing taking place cellular level
62,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,fear,like pressured young beautiful thin depending trend girls rejuvenated butt implants
63,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,fear,began several times week tortured hallucinations moving people figures sounds vibrations
64,i am now nearly finished the week detox and i feel amazing,surprise,nearly finished week detox amazing
65,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,anger,selfish read back former posts never asked prayers others never considered may others deserve prayers answered
66,i know the pain parents feel when an enraged child becomes violent,anger,know pain parents enraged child becomes violent
67,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,sadness,roller coaster emotions supposed feelings something unpleasant coming
68,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,love,suppose truth needs shared havent faithful lately dwelled doubt uncertainty faith
69,i was feeling brave when i bought it and clearly when i was doing my makeup,joy,brave bought clearly makeup
70,i am feeling miserable but c i am also the proudest mum on earth,sadness,miserable c also proudest mum earth
71,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,sadness,family loves us matter around anyone else embarrassed michelle goes ballistic
72,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,joy,necessarily think f bombs sex necessary stories reassured see print journals
73,i can feel my ovaries aching talking to me as i like to put it,sadness,ovaries aching talking like put
74,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,sadness,like much chris mostly took many pictures unimportant stuff
75,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,sadness,tired book ready finding given unsuitable images blamed result sit well
76,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,joy,successfully manage stretch mxm achievement worthwhile usage money use future briefs
77,i think feelings are one of nay the most important things we have,joy,think feelings one nay important things
78,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,joy,completely honored influence young talented fully alive beautiful girl woman
79,i feel angered and firey,anger,angered firey
80,i feel like a miserable piece of garbage,sadness,like miserable piece garbage
81,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger,like need make leanne would appalled thought miss anything
82,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,anger,drove dannika school little bit rushed greeted turned corner
83,i remember feeling so hellip furious with the shooter,anger,remember hellip furious shooter
84,i feel very happy and excited since i learned so many things,joy,happy excited since learned many things
85,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,joy,shows around show horses people trusting relaxed show horses safe quiet handled frequently
86,i only have a couple of things left to make and at the start of december i am done and feeling smug,joy,couple things left make december done smug
87,i think about how u could make me feel and realize that everything will be ok,joy,think could make realize everything ok
88,i feel so worthless during those times i was struggling finding work,sadness,worthless times struggling finding work
89,i will be able to lay on my bed in the dark and not feel terrified at least for a while,fear,able lay bed dark terrified least
90,i was ready to meet mom in the airport and feel her ever supportive arms around me,love,ready meet mom airport ever supportive arms around
91,im feeling bitter today my mood has been strange the entire day so i guess its that,anger,bitter today mood strange entire day guess
92,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,sadness,mums brother passed away involved car accident bringing present passed five exams flying colours
93,i am letting go of the animosity that is towards anyone that i feel has wronged me,anger,letting go animosity towards anyone wronged
94,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,love,talk dogs cannot understand words read emotions know supportive decided go home
95,i feel like throwing away the shitty piece of shit paper,sadness,like throwing away shitty piece shit paper
96,im starting to feel wryly amused at the banal comedy of errors my life is turning into,joy,starting wryly amused banal comedy errors life turning
97,i find every body beautiful and only want people to feel vital in their bodies,joy,find every beautiful want people vital bodies
98,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,sadness,hear owners victimized associations associations attorneys property manager
99,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger,say goodbye fam theyre sad crying like heartless bitch hey pretty excited flying first know also spend year another country
100,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,love,let child cry loving lily little going opportunities lasted short months
101,i alba i feel good and im fitting in,joy,alba good fitting
102,i feel excited about what im doing again i feel like i have a ton of catching up to do,joy,excited like ton catching
103,i also know how good it feels to look back and see that i honored my word and that helps from the start,joy,also know good feels look back see honored word helps
104,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,sadness,mean really really hard works obtain technical skill wushu kinda ashamed somehow motivated saw kids wushu performances whole heartedly despite tiredness
105,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,joy,like things getting little overwhelming spritz toner really helps calm soothe
106,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,joy,hope realize little effort make person better situation whether family member college school friend neighbor street even complete stranger
107,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,joy,festive today even going put tree soon finished catching week goings ons coronation street
108,finding out that i am not ill not seriously,joy,finding seriously
109,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,sadness,alright combination unsuccessful man handled stress late horrible week resulted almost crying finished grappling
110,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,joy,rarely advances worthwhile cause always stick rule posting anything online prepared say somebodys face
111,i am feeling all useful,joy,useful
112,i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,love,like pains cannot imagine becoming passionate group idea causing pain
113,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,sadness,ugly inclined wear ratty jeans sweatshirt beautiful dress though might still wear pair heels around house boost self esteem ever slightly definitely bother buy new pair
114,im not feeling homesick yet so im feeling alright about this,sadness,homesick yet alright
115,i dance i should feel pretty,joy,dance pretty
116,i workout every morning before and feel fabulous for it,joy,workout every morning fabulous
117,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,sadness,eyes touch words eyes know assuredly return love know shall vain
118,i was feeling fabulous until friday morning when i started to get these awful cramps at work,joy,fabulous friday morning started get awful cramps work
119,i feel honoured to have been able to call them friends to share their brotherhood,joy,honoured able call friends share brotherhood
120,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear,begun apprehensive thick black rain clouds stormed sky town
121,i had stated to her the reason i feel so fearful is because i feel unsafe,fear,stated reason fearful unsafe
122,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,fear,like getting shaken tsa quite yet pulled side creative croissants lunch
123,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,sadness,get groups really awkward overcompensate talkative getting really quiet
124,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,love,excited finally meet companion companion times especially lonely lonely companion never disappoint companion put arms around make loved
125,i feel they are pretty safe on my blog img src http s,joy,pretty safe blog
126,i feel pretty eager to get it done as i have a fun plan for quilting it,joy,pretty eager get done fun plan quilting
127,i am feeling horny so i ask her that lets go home,love,horny ask lets go home
128,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,fear,think poem put pressure uncomfortable sense understanding understand loving able love
129,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,surprise,stranger strange land raising son place father ancestral home
130,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,joy,left shower questioning gorgeous fantastic confident movement effortlessly graceful
131,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,joy,energetic bouncy happy go gym run around outside kids take pram long walk often three one day
132,i was still feeling strong,joy,still
133,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,joy,burst tears devastating release feelings thoughts seemed know rich also go space without dumping
134,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,anger,wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe little bitter
135,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,fear,suppose feels badly bit skeptical pain last months shes hyperchondria exaggeration habit past though never openly questioned
136,i clench to the corners of the bed to feel assured,joy,clench corners bed assured
137,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,anger,also like selfish grateful life amazing things
138,i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,love,called god seen god book figured god right utterly affirmed accepted without question
139,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,anger,know perhaps girls office nice short hair perhaps rebellious
140,i do not feel miserable at all because my family is not the type that celebrates eid,sadness,miserable family celebrates eid
141,i might go get a car wash if i am feeling really generous my car needs it,joy,might go get car wash really generous car needs
142,i still feel sleep deprived she is almost sleeping through the night giving us,sadness,still sleep deprived almost sleeping night giving us
143,i just feel really violent right now,anger,really violent right
144,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,joy,bloging sitting dogs amp cat etc know lucky truth
145,i started feeling funny and then friday i woke up sick as a dog,surprise,started funny friday woke sick dog
146,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,sadness,need protect parents witch hunt repressed memory therapy
147,i feel disgusted to even be associated with this woman by my race and nationality,anger,disgusted even associated woman race nationality
148,i laughed then bitterly again but i wasnt feeling bitter,anger,laughed bitterly wasnt bitter
149,i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,sadness,know thought wished could us us knew however much hated first experience would remember forever
150,i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,joy,quite mellow wanted soft easy look wear beginning cold
151,i told him that maybe i just need time to think how ive been feeling indecisive about things lately,fear,told maybe need think indecisive things lately
152,i still feel it does the genre a disservice when stories are resolved artifically,joy,still genre disservice stories resolved artifically
153,i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,joy,always know artistic write artistic mood manitz draw circle dot bigger dot artistic line like accent spanish pissed
154,i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,fear,remember really terrified brazil bus going steep mountain hills side mountain middle storm wondering going fall
155,i could feel her whimper to the thought of being unloved and uncared for,sadness,could whimper thought unloved uncared
156,im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,surprise,certainly going sit tell whats going personal life ever curious whats going life youd watch show
157,im sorry that there wasnt more humor in this post but im not feeling all that funny,surprise,sorry wasnt humor post funny
158,i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,joy,got foot door fantastic world walking running trails fells mountains
159,i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,anger,say whatever comes mind tell directly jealous girl insecure love person trust worthy friend sweet one love
160,i feel strange coming back to work after my one day holiday,fear,strange coming back work one day holiday
161,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger,clearly influenced dash happiness emily dickinson example use dashes instead colons semi colons enhance feelings rushed enjambment sonnet
162,i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,sadness,fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world hell needy neglected little girls
163,i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,anger,could claim redeem genre leave entirely frustrated point beating wall either
164,i feel so sad and hopeless,sadness,sad hopeless
165,im getting the feeling that my classes are a little intimidated by the concept of a lit,fear,getting classes little intimidated concept lit
166,i still feel groggy but i have to get up to do the routine for my son,sadness,still groggy get routine son
167,i have a feeling my view isnt going to be very popular and thats fine,joy,view isnt going popular thats fine
168,i want to hold this feeling of shocked awe and wonder forever,surprise,want hold shocked awe wonder forever
169,when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,fear,heard rumour st year exam results fear might one failures
170,i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,joy,want valued appreciated know people love arent going anywhere even nature relationship changes
171,i know there are days in which you feel distracted,anger,know days distracted
172,i use it regularly with relaxing music and always feel invigorated afterward,joy,use regularly relaxing music always invigorated afterward
173,im feeling distracted i tend to practice with my eyes shut as much as possible,anger,distracted tend practice eyes shut much possible
174,i feel like its perfect a w see youtube has its influences i even know trends,joy,like perfect w see youtube influences even know trends
175,i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,fear,specifically wanted tango shy maks quite opposite hard get far enough away get good pics lol
176,i also didn t feel very weird sleeping in my bed while the two of them slept in hers,fear,also weird sleeping bed two slept
177,i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,sadness,wish okay thinking earlier today heres thing cooped amp restless made needy
178,ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,joy,lost weight could fit tiny skirt unable wear confident
179,i hope to feel a bit more creative again soon and miss its presence in my life blog,joy,hope bit creative soon miss presence life blog
180,i am no fan of the current president i am a conservative and it made me feel unwelcome,sadness,fan current president conservative made unwelcome
181,i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,surprise,enclose verses could weigh much thinking curious hear odd couple
182,i begin to feel complacent with my life here,joy,begin complacent life
183,i feel vulnerable and alone,fear,vulnerable alone
184,i remember feeling inspired and thinking that it was a fine example of parenting,joy,remember inspired thinking fine example parenting
185,i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,sadness,like always one getting punished stupid things like chastised behaving
186,i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,joy,really life perfect right isnt much ask hope everything would stay
187,im there i simply feel contented,joy,simply contented
188,im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,joy,saying cut everyone life important find comfort solitude meditation working projects alone
189,i think im just being stupid feeling nervous,fear,think stupid nervous
190,i feel honored by it,joy,honored
191,i was feeling an act of god at work in my life and it was an amazing feeling,surprise,act god work life amazing
192,i feel im like a bird flying in the air in a very carefree manner,joy,like bird flying air carefree manner
193,i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,anger,revise replies mind make sure reply sounds appropriate enough person receive reply offended
194,i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,sadness,sad friend mine died something irrevocably gone away
195,i died would alex and matt feel regretful for not coming to visit,sadness,died would alex matt regretful coming visit
196,i feel that educating families and supporting and educationg mamas and papas is key,joy,educating families supporting educationg mamas papas key
197,im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,anger,sure lost like everyone hostile toward hate
198,i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,sadness,like boring sewing makes since easy nothing else say fabric usage
199,i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,joy,always liked use original fragrance freshen lightly scent underwear drawer gorgeously glamorous girly
200,i feel like i talented young man i don t feel talented then i don t to work with,joy,like talented young man talented work
201,i feel curious about all this things around,surprise,curious things around
202,i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,joy,reason apart others lives help become something push succeed successful happy
203,i feel now so uncomfortable with all of them i guess is me,fear,uncomfortable guess
204,i feel pretty mellow so far about whatever healing wounding process may be getting underway,joy,pretty mellow far whatever healing wounding process may getting underway
205,i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,fear,wonder sometimes whether added antagonism misunderstanding many people towards us reluctant wholeheartedly support traditional armistice day remembrances
206,i legs would feel shitty for a few miles but would come around like they always do,sadness,legs would shitty miles would come around like always
207,i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,fear,know unfair reaction run ways explain shaken best come right
208,i seriously feel so blessed for the support that i have at home it s amazing,love,seriously blessed support home amazing
209,i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,sadness,abused maligned mostly tired nervous anticipating danger
210,i am feeling pretty restless right now while typing this,fear,pretty restless right typing
211,i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,love,know gosman touristy place go montauk infrequent visitors want harbor gentle cawing seagulls lapping water wood pilings relaxing breeze coming water
212,i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,sadness,admit hilarious e cards seriously exactly stressed moment could hy
213,i wrote last year when i was feeling more dull and inarticulate than normal,sadness,wrote last year dull inarticulate normal
214,id kick myself into gear but i just feel irritable with no motivation what so ever,anger,kick gear irritable motivation ever
215,i feel as a child innocent feelings illustrating a,joy,child innocent feelings illustrating
216,i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,love,satisfaction longer supporting contributing looter driven consumerism made walking corpse america revered younger
217,i will start to feel resentful,anger,resentful
218,i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,sadness,spend vacation obligations headaches like emotional blackmailed three places
219,i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,surprise,herpes coming would surprised point make checkup clinic wednesday
220,i feel so fucked like everyday of my life,anger,fucked like everyday life
221,ive worked really hard all year to try to make each child in the class feel like they are valued,joy,worked really hard year try make child like valued
222,i am feeling disheartened with my words as of late,sadness,disheartened words late
223,i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger,like bitchy upon retrospect think trying shake
224,i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,joy,still second guess still terrible making definitive decisions certain truths know assured truths
225,i don t feel like eggs benedict i ll have something equally delicious,joy,like eggs benedict something equally delicious
226,im feeling my way through and trusting myself,joy,way trusting
227,im feeling inspired by all the summery elements of my favorite past time beach bummin,joy,inspired summery elements favorite past beach bummin
228,i can feel that she smiled i love you even more gorgeous,joy,smiled love even gorgeous
229,i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,sadness,continue define discover home mean amsterdam whenever pang blank sickness line missing cultural mindset american city life much different cultural mindset amsterdam
230,i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,joy,make arcade simple purpose try make absolutely comfortable physically emotionally practically absolutely
231,i can t say i feel all that sympathetic,love,say sympathetic
232,i was feeling over eager and hopped on to the tube to ride the eye of london,joy,eager hopped tube ride eye london
233,i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,sadness,go online see friend talking another one talking ignored unloved
234,i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,anger,monitoring say anything ever come across blogs offended please stop
235,i feel like that s so weird that i had cancer that one time,surprise,like weird cancer one
236,i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,joy,want safe well maybe maybe theres chance joy dreams come true
237,im feeling cranky,anger,cranky
238,i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time,joy,also think puzzling particular administrator singled praise ability get students read feels ssr productive use
239,i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser,love,tried fill befriending people knew using care needed accepted even complete loser
240,i feel stressed always,sadness,stressed always
241,i remember feeling another cramp but i also ignored it,sadness,remember another cramp also ignored
242,i hope i feel mellow well fed well slept at peace with myself within this external world,joy,hope mellow well fed well slept peace within external world
243,i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,sadness,also learned takes lot effort positive thinking break tears exhausted guilty better mom
244,im feeling awful because we hung out with my friend and her new baby the day before,sadness,awful hung friend new baby day
245,i feel very relaxed and fine,joy,relaxed fine
246,i feel the suffering and i really feel the pain,sadness,suffering really pain
247,i go to sleep i feel as if i m giving up precious time to do something else with my life,joy,go sleep giving precious something else life
248,i feel like i ve been neglecting my beloved mom blog,joy,like neglecting beloved mom blog
249,i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,joy,shalt say cos din thing wrote hw keen xxx
